Jurisdiction,TAZNUM,Type,Subarea,SubareaName
BELLEVUE,479,Regular,7,South Bellevue
BELLEVUE,480,Regular,7,South Bellevue
BELLEVUE,481,Regular,4,Wilburton
BELLEVUE,482,Park,7,South Bellevue
BELLEVUE,483,Regular,7,South Bellevue
BELLEVUE,484,Regular,7,South Bellevue
BELLEVUE,485,Regular,7,South Bellevue
BELLEVUE,486,Park,7,South Bellevue
BELLEVUE,487,Regular,7,South Bellevue
BELLEVUE,488,Regular,14,Newport Hills
BELLEVUE,489,Regular,7,South Bellevue
BELLEVUE,490,Regular,13,Factoria
BELLEVUE,491,Regular,13,Factoria
BELLEVUE,492,Regular,10,Eastgate
BELLEVUE,493,Regular,10,Eastgate
BELLEVUE,494,Regular,10,Eastgate
BELLEVUE,495,Regular,11,Southeast Bellevue
BELLEVUE,496,Regular,11,Southeast Bellevue
BELLEVUE,497,Regular,11,Southeast Bellevue
BELLEVUE,498,Regular,11,Southeast Bellevue
BELLEVUE,499,Regular,11,Southeast Bellevue
BELLEVUE,500,Regular,11,Southeast Bellevue
BELLEVUE,501,Middle School,11,Southeast Bellevue
BELLEVUE,502,Regular,11,Southeast Bellevue
BELLEVUE,503,Elementary School,11,Southeast Bellevue
BELLEVUE,504,Regular,13,Factoria
BELLEVUE,505,Regular,13,Factoria
BELLEVUE,506,Regular,13,Factoria
BELLEVUE,507,Regular,13,Factoria
BELLEVUE,508,Regular,13,Factoria
BELLEVUE,509,Regular,13,Factoria
BELLEVUE,510,Regular,13,Factoria
BELLEVUE,511,Regular,13,Factoria
BELLEVUE,512,High School,13,Factoria
BELLEVUE,513,Regular,13,Factoria
BELLEVUE,514,Regular,13,Factoria
BELLEVUE,515,Regular,13,Factoria
BELLEVUE,516,Regular,13,Factoria
BELLEVUE,517,Regular,13,Factoria
BELLEVUE,518,Regular,11,Southeast Bellevue
BELLEVUE,519,Regular,11,Southeast Bellevue
BELLEVUE,520,Park,11,Southeast Bellevue
BELLEVUE,521,Regular,11,Southeast Bellevue
BELLEVUE,522,Regular,11,Southeast Bellevue
BELLEVUE,523,Regular,11,Southeast Bellevue
BELLEVUE,524,Elementary School,11,Southeast Bellevue
BELLEVUE,525,Regular,11,Southeast Bellevue
BELLEVUE,526,Regular,10,Eastgate
BELLEVUE,527,Regular,10,Eastgate
BELLEVUE,528,Regular,11,Southeast Bellevue
BELLEVUE,529,Regular,11,Southeast Bellevue
BELLEVUE,530,Regular,11,Southeast Bellevue
BELLEVUE,531,Regular,11,Southeast Bellevue
BELLEVUE,532,Regular,11,Southeast Bellevue
BELLEVUE,533,Regular,11,Southeast Bellevue
BELLEVUE,534,Regular,11,Southeast Bellevue
BELLEVUE,535,Regular,11,Southeast Bellevue
BELLEVUE,536,Regular,11,Southeast Bellevue
BELLEVUE,537,Park,11,Southeast Bellevue
BELLEVUE,538,Regular,11,Southeast Bellevue
BELLEVUE,539,Regular,11,Southeast Bellevue
BELLEVUE,540,Regular,11,Southeast Bellevue
BELLEVUE,541,Regular,11,Southeast Bellevue
BELLEVUE,542,Regular,11,Southeast Bellevue
BELLEVUE,543,Elementary School,11,Southeast Bellevue
BELLEVUE,544,Regular,11,Southeast Bellevue
BELLEVUE,545,Regular,11,Southeast Bellevue
BELLEVUE,546,Regular,11,Southeast Bellevue
BELLEVUE,547,Regular,11,Southeast Bellevue
BELLEVUE,548,Regular,11,Southeast Bellevue
BELLEVUE,549,Regular,11,Southeast Bellevue
BELLEVUE,550,Elementary School,11,Southeast Bellevue
BELLEVUE,551,Regular,11,Southeast Bellevue
BELLEVUE,552,Regular,11,Southeast Bellevue
BELLEVUE,553,Regular,11,Southeast Bellevue
BELLEVUE,554,Regular,11,Southeast Bellevue
BELLEVUE,555,Regular,11,Southeast Bellevue
BELLEVUE,556,Regular,11,Southeast Bellevue
BELLEVUE,557,Regular,11,Southeast Bellevue
BELLEVUE,558,Regular,11,Southeast Bellevue
BELLEVUE,559,Regular,11,Southeast Bellevue
BELLEVUE,560,Regular,11,Southeast Bellevue
BELLEVUE,561,Park,11,Southeast Bellevue
BELLEVUE,562,Regular,11,Southeast Bellevue
BELLEVUE,563,Regular,11,Southeast Bellevue
BELLEVUE,564,Regular,11,Southeast Bellevue
BELLEVUE,565,Park,11,Southeast Bellevue
BELLEVUE,566,Regular,11,Southeast Bellevue
BELLEVUE,567,Regular,11,Southeast Bellevue
BELLEVUE,568,Regular,11,Southeast Bellevue
BELLEVUE,569,Regular,11,Southeast Bellevue
BELLEVUE,570,Regular,11,Southeast Bellevue
BELLEVUE,571,Regular,11,Southeast Bellevue
BELLEVUE,572,Regular,11,Southeast Bellevue
BELLEVUE,573,Regular,11,Southeast Bellevue
BELLEVUE,574,Regular,11,Southeast Bellevue
BELLEVUE,575,Regular,11,Southeast Bellevue
BELLEVUE,576,Regular,11,Southeast Bellevue
BELLEVUE,577,Elementary School,11,Southeast Bellevue
BELLEVUE,578,Regular,11,Southeast Bellevue
BELLEVUE,579,Regular,11,Southeast Bellevue
BELLEVUE,580,Regular,11,Southeast Bellevue
BELLEVUE,581,Regular,11,Southeast Bellevue
BELLEVUE,582,Regular,11,Southeast Bellevue
BELLEVUE,583,Regular,11,Southeast Bellevue
BELLEVUE,584,Regular,11,Southeast Bellevue
BELLEVUE,585,Regular,11,Southeast Bellevue
